id,fecha,usuario,texto,tema,sentimiento,likes,reposts,texto_rag
1,2022-05-01,user_44220,la presión por ser productivo todo el tiempo está quemando a una generación entera. no todo en la vida debe ser rendimiento.,Generación Z y crisis de sentido,neutral,1056,2652,la presión por ser productivo todo el tiempo está quemando a una generación entera. no todo en la vida debe ser rendimiento.
2,2024-03-21,user_8463,antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en tiktok.,Cultura de lo efímero y proyectos de vida,neutral,4032,566,antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en tiktok.
3,2022-12-21,user_26421,"cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección.",Cultura de lo efímero y proyectos de vida,neutral,7884,1817,"cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección."
4,2022-09-04,user_24985,todo se mueve tan rápido que incluso los recuerdos parecen caducar. la cultura de lo efímero borra cualquier intento de construir algo que perdure.,Cultura de lo efímero y proyectos de vida,neutral,8695,3614,todo se mueve tan rápido que incluso los recuerdos parecen caducar. la cultura de lo efímero borra cualquier intento de construir algo que perdure.
5,2022-01-15,user_71752,¿seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,Cultura de lo efímero y proyectos de vida,negativo,16384,2610,¿seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?
6,2022-08-04,user_5708,estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.,Generación Z y crisis de sentido,negativo,11176,4637,estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.
7,2022-06-08,user_26268,antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en tiktok.,IA y pérdida de autonomía humana,positivo,16612,748,antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en tiktok.
8,2023-06-25,user_18128,antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en tiktok.,Cultura de lo efímero y proyectos de vida,positivo,8531,3605,antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en tiktok.
9,2023-03-07,user_53546,estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.,Cultura de lo efímero y proyectos de vida,positivo,11014,1455,estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.
10,2023-03-29,user_14060,el ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿cómo pensar profundamente en medio de tantas distracciones?,IA y pérdida de autonomía humana,negativo,3997,3657,el ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿cómo pensar profundamente en medio de tantas distracciones?
